label,numThreads,gpuEnable,diffT,pixT,rep,elapsed_s
CPU12,12,0,0.05,32768,1,160.825332
CPU12,12,0,0.05,32768,2,161.646836
CPU12,12,0,0.05,32768,3,161.935879
GPU,1,1,0.05,32768,1,77.626363
GPU,1,1,0.05,32768,2,77.564325
GPU,1,1,0.05,32768,3,77.596844
GPU+11CPU,12,1,0.05,32768,1,52.259488
GPU+11CPU,12,1,0.05,32768,2,55.199773
GPU+11CPU,12,1,0.05,32768,3,52.891944
CPU12,12,0,0.1,32768,1,162.756173
CPU12,12,0,0.1,32768,2,162.094042
CPU12,12,0,0.1,32768,3,161.041896
GPU,1,1,0.1,32768,1,77.921081
GPU,1,1,0.1,32768,2,77.721361
GPU,1,1,0.1,32768,3,77.777394
GPU+11CPU,12,1,0.1,32768,1,52.097637
GPU+11CPU,12,1,0.1,32768,2,53.234692
GPU+11CPU,12,1,0.1,32768,3,53.067018
CPU12,12,0,0.2,32768,1,162.776077
CPU12,12,0,0.2,32768,2,162.137396
CPU12,12,0,0.2,32768,3,162.848340
GPU,1,1,0.2,32768,1,77.912803
GPU,1,1,0.2,32768,2,77.728475
GPU,1,1,0.2,32768,3,77.804607
GPU+11CPU,12,1,0.2,32768,1,52.551686
GPU+11CPU,12,1,0.2,32768,2,53.069997
GPU+11CPU,12,1,0.2,32768,3,53.086115
CPU12,12,0,0.3,32768,1,163.564179
CPU12,12,0,0.3,32768,2,161.735224
CPU12,12,0,0.3,32768,3,161.426923
GPU,1,1,0.3,32768,1,77.958928
GPU,1,1,0.3,32768,2,77.775649
GPU,1,1,0.3,32768,3,77.765264
GPU+11CPU,12,1,0.3,32768,1,52.200561
GPU+11CPU,12,1,0.3,32768,2,53.464066
GPU+11CPU,12,1,0.3,32768,3,53.975111
