config,block,rep,wall_e2e_s,laptop_s,yeco_s
laptop_hybrid,,1,18.897467,18.897467,
2node_cyclic,1,1,11.177,10.911739,2.693013
2node_bc8,8,1,12.651,12.359646,2.591608
2node_block,50,1,13.464,6.787276,3.486468
2node_block_rev,50,1,14.383,14.109810,1.879544
yeco_solo,,1,5.027808,,5.027808
laptop_hybrid,,2,22.708025,22.708025,
2node_cyclic,1,2,11.447,11.161794,2.699706
2node_bc8,8,2,12.839,12.102614,2.567289
2node_block,50,2,11.328,6.515672,3.397382
2node_block_rev,50,2,15.045,13.826690,1.779265
yeco_solo,,2,5.192058,,5.192058
laptop_hybrid,,3,21.455370,21.455370,
2node_cyclic,1,3,11.108,10.843971,2.725468
2node_bc8,8,3,11.199,10.930483,2.574065
2node_block,50,3,9.376,6.611889,3.394745
2node_block_rev,50,3,14.828,14.560094,1.819787
yeco_solo,,3,5.217128,,5.217128
