config,rep,wall_e2e_s,laptop_s,ivy_s,laptop_frames,ivy_frames
laptop_hybrid,1,18.869410,18.869410,,100,
weighted_static,1,22.827,17.016594,19.715793,85,15
dyn_51,1,22.414,18.123,16.648,83,17
dyn_11,1,27.754,19.362,22.446,79,21
laptop_hybrid,2,24.119233,24.119233,,100,
weighted_static,2,23.049,18.542861,20.160651,85,15
dyn_51,2,22.252,19.866,16.595,83,17
dyn_11,2,28.431,18.381,21.842,79,21
laptop_hybrid,3,20.179419,20.179419,,100,
weighted_static,3,22.904,18.236001,19.668932,85,15
dyn_51,3,21.367,18.894,15.677,83,17
dyn_11,3,28.364,19.040,22.172,79,21
