config,rep,wall_e2e_s,laptop_s,ivy_s,laptop_frames,ivy_frames
laptop_hybrid,1,18.569641,18.569641,,100,
weighted_static,1,23.024,17.243778,20.124098,85,15
dyn_51,1,21.898,18.253,16.053,83,17
dyn_11,1,30.400,16.389,27.408,75,25
laptop_hybrid,2,19.529428,19.529428,,100,
weighted_static,2,23.330,17.488464,19.355067,85,15
dyn_51,2,24.153,18.552,17.301,83,17
dyn_11,2,30.930,16.513,27.065,75,25
laptop_hybrid,3,19.505082,19.505082,,100,
weighted_static,3,23.557,17.614183,20.128676,85,15
dyn_51,3,22.656,18.601,16.836,83,17
dyn_11,3,32.476,16.529,29.544,75,25
