config,rep,wall_e2e_s,laptop_s,yeco_s,laptop_frames,yeco_frames
laptop_hybrid,1,18.375066,18.375066,,100,
weighted_static,1,11.161,4.119586,4.153591,21,79
dyn_14,1,9.153,8.407,3.809,42,58
dyn_11,1,12.851,11.536,4.168,45,55
laptop_hybrid,2,21.981793,21.981793,,100,
weighted_static,2,13.437,5.340285,3.999863,21,79
dyn_14,2,13.780,9.089,3.943,42,58
dyn_11,2,16.223,10.997,4.112,45,55
laptop_hybrid,3,21.892054,21.892054,,100,
weighted_static,3,14.727,4.221081,4.163010,21,79
dyn_14,3,15.922,9.308,3.922,42,58
dyn_11,3,16.443,10.220,4.089,45,55
