label,numThreads,gpuEnable,rep,elapsed_s
CPU12,12,0,1,163.690962
CPU12,12,0,2,163.702392
CPU12,12,0,3,163.018047
GPU,1,1,1,76.682597
GPU,1,1,2,76.359601
GPU,1,1,3,76.587305
GPU+1CPU,2,1,1,69.126729
GPU+1CPU,2,1,2,68.061423
GPU+1CPU,2,1,3,68.171411
GPU+2CPU,3,1,1,64.456459
GPU+2CPU,3,1,2,63.959097
GPU+2CPU,3,1,3,64.777033
GPU+4CPU,5,1,1,59.696943
GPU+4CPU,5,1,2,60.509352
GPU+4CPU,5,1,3,61.073359
GPU+8CPU,9,1,1,56.086118
GPU+8CPU,9,1,2,56.449567
GPU+8CPU,9,1,3,56.047649
GPU+11CPU,12,1,1,53.736532
GPU+11CPU,12,1,2,53.500111
GPU+11CPU,12,1,3,53.618569
